,features,f_coef
764,and shes,0.018534839302246902
765,and should,-0.040361290869044886
766,and since,-0.026408973695139983
767,and since then,-0.01622710691716106
768,and sister,0.013211681019753247
769,and sit,0.016590889333695583
770,and sleep,0.004630546956001455
771,and so,-0.011811933974583789
772,and so on,-0.02133561480271238
773,and social,-0.010598589225571841
774,and some,0.00651401905211029
775,and someone,0.01561576055292882
776,and sometimes,-0.028146192309384012
777,and spend,-0.019770367000428765
778,and spent,0.02658318701407221
779,and start,-0.016125079190832677
780,and started,0.02101691504314898
781,and started to,0.015519328348122429
782,and stay,-0.03630525991730125
783,and still,-0.04169330048354173
784,and stop,-0.009524601336572468
785,and stopped,-0.013866696439510967
786,and stuff,-0.007284858754616992
787,and stupid,0.029783845696338494
788,and such,-0.01313419225926373
789,and support,-0.01647894553090124
790,and take,0.022368976405232107
791,and taking,0.038809974334742155
792,and talk,-0.004288393408032288
793,and talk to,-0.03968038827912257
794,and talking,-0.01910039171745234
795,and tell,0.004344503399804631
796,and tell me,0.004223671109373099
797,and telling,0.001320494168828937
798,and that,0.013504883463224896
799,and that he,-0.015510969923730519
800,and that im,-0.0062314970911061945
801,and that is,0.010213446524902518
802,and that it,0.0010303867932983741
803,and that she,-0.022496484622289772
804,and that was,0.010572633508343426
805,and thats,0.02203311326909401
806,and the,0.07829504276095962
807,and the only,0.005469514140588161
808,and the other,0.011624590572568504
809,and the people,0.009177075966157161
810,and their,0.03625776701732447
811,and then,0.014069282155848415
812,and then it,-0.020168397286956255
813,and then the,0.03360300734588638
814,and there,-0.002460697394277417
815,and there are,0.008844617585419566
816,and there is,0.032112579273270325
817,and theres,0.028117110634748636
818,and these,0.0024076242912557853
819,and they,-0.019059434112341046
820,and they are,-0.008852251754772698
821,and they dont,0.0038661480214783935
822,and things,0.022464553847744043
823,and think,0.03350444846489178
824,and think about,-0.02138944293969387
825,and think that,0.005093772549251088
826,and thinking,-0.044721295762724184
827,and this,0.01931024694507996
828,and this is,0.03236813193930266
829,and those,0.007587888066121051
830,and thought,-0.002676971050511489
831,and thoughts,0.012621813365228681
832,and time,0.012085081397033468
833,and tired,0.04680042111498098
834,and tired of,0.0332773984628393
835,and to,0.11359907576787107
836,and to be,0.022062786832367735
837,and today,-0.009513263352343392
838,and told,0.017949193356527327
839,and told her,-0.013806161334590379
840,and told him,0.04743265930270341
841,and told me,-0.03437464706226036
842,and took,-0.009813750877099835
843,and tried,-0.008478758318760597
844,and tried to,-0.010260315049398543
845,and try,-0.019448730783048495
846,and try to,-0.015265716978294376
847,and trying,-0.004108756176779917
848,and trying to,-0.0017245962293003707
849,and two,0.01744310217808033
850,and understand,0.0031870796728026857
851,and upset,0.004734700671256803
852,and used,-0.0028731590230830772
853,and usually,-0.01683993300144409
854,and very,0.010983114334961946
855,and want,-0.03598801299877244
856,and want to,-0.04706531806481067
857,and wanted,-0.031062721285915928
858,and wanted to,-0.03174094214385377
859,and wants,-0.03672871076085886
860,and was,0.04102834614624492
861,and wasnt,-0.007173226191723034
862,and watch,-0.00013438280029004574
863,and we,0.009124135068322223
864,and we have,-0.02938224017358404
865,and we were,0.034158175980232824
866,and well,-0.028948643667315387
867,and went,-0.08397888689170979
868,and went to,-0.02024970995550667
869,and were,0.012106721414686977
870,and what,-0.011276736438703527
871,and when,-0.024119425159624674
872,and when do,0.00987883145850782
873,and where,-0.024504374070089253
874,and while,-0.01832670333482771
875,and who,0.010774416249670566
876,and why,-0.0022413347177052223
877,and will,-0.024999083935764426
878,and will be,0.006435111715015972
879,and wish,0.06675160691297129
880,and with,0.03838081798119228
881,and without,0.0153534109948427
